src_type	src	dest_type	dest	direction	type
ENTREZID	1543	ENTREZID	240	directed	Control(indirect)
ENTREZID	1543	ENTREZID	4048	directed	Control(indirect)
ENTREZID	1543	ENTREZID	246	directed	Control(indirect)
ENTREZID	1543	ENTREZID	239	directed	Control(indirect)
ENTREZID	1544	ENTREZID	240	directed	Control(indirect)
ENTREZID	1544	ENTREZID	4048	directed	Control(indirect)
ENTREZID	1544	ENTREZID	246	directed	Control(indirect)
ENTREZID	1544	ENTREZID	239	directed	Control(indirect)
ENTREZID	1571	ENTREZID	240	directed	Control(indirect)
ENTREZID	1571	ENTREZID	4048	directed	Control(indirect)
ENTREZID	1571	ENTREZID	246	directed	Control(indirect)
ENTREZID	1571	ENTREZID	239	directed	Control(indirect)
ENTREZID	1576	ENTREZID	240	directed	Control(indirect)
ENTREZID	1576	ENTREZID	4048	directed	Control(indirect)
ENTREZID	1576	ENTREZID	246	directed	Control(indirect)
ENTREZID	1576	ENTREZID	239	directed	Control(indirect)
ENTREZID	240	ENTREZID	1543	directed	Control(indirect)
ENTREZID	240	ENTREZID	1544	directed	Control(indirect)
ENTREZID	240	ENTREZID	1571	directed	Control(indirect)
ENTREZID	240	ENTREZID	1576	directed	Control(indirect)
ENTREZID	240	ENTREZID	4048	directed	Control(indirect)
ENTREZID	240	ENTREZID	1558	directed	Control(indirect)
ENTREZID	240	ENTREZID	1565	directed	Control(indirect)
ENTREZID	240	ENTREZID	1559	directed	Control(indirect)
ENTREZID	240	ENTREZID	4056	directed	Control(indirect)
ENTREZID	4048	ENTREZID	1543	directed	Control(indirect)
ENTREZID	4048	ENTREZID	1544	directed	Control(indirect)
ENTREZID	4048	ENTREZID	3248	directed	Control(indirect)
ENTREZID	1558	ENTREZID	240	directed	Control(indirect)
ENTREZID	1558	ENTREZID	4048	directed	Control(indirect)
ENTREZID	1558	ENTREZID	246	directed	Control(indirect)
ENTREZID	1558	ENTREZID	239	directed	Control(indirect)
ENTREZID	1565	ENTREZID	240	directed	Control(indirect)
ENTREZID	1565	ENTREZID	4048	directed	Control(indirect)
ENTREZID	1565	ENTREZID	246	directed	Control(indirect)
ENTREZID	1565	ENTREZID	239	directed	Control(indirect)
ENTREZID	1559	ENTREZID	240	directed	Control(indirect)
ENTREZID	1559	ENTREZID	4048	directed	Control(indirect)
ENTREZID	1559	ENTREZID	246	directed	Control(indirect)
ENTREZID	1559	ENTREZID	239	directed	Control(indirect)
ENTREZID	246	ENTREZID	1543	directed	Control(indirect)
ENTREZID	246	ENTREZID	1544	directed	Control(indirect)
ENTREZID	246	ENTREZID	1571	directed	Control(indirect)
ENTREZID	246	ENTREZID	1576	directed	Control(indirect)
ENTREZID	246	ENTREZID	4048	directed	Control(indirect)
ENTREZID	246	ENTREZID	1558	directed	Control(indirect)
ENTREZID	246	ENTREZID	1565	directed	Control(indirect)
ENTREZID	246	ENTREZID	1559	directed	Control(indirect)
ENTREZID	246	ENTREZID	2879	directed	Control(indirect)
ENTREZID	239	ENTREZID	1543	directed	Control(indirect)
ENTREZID	239	ENTREZID	1544	directed	Control(indirect)
ENTREZID	239	ENTREZID	1571	directed	Control(indirect)
ENTREZID	239	ENTREZID	1576	directed	Control(indirect)
ENTREZID	239	ENTREZID	240	directed	Control(indirect)
ENTREZID	239	ENTREZID	1558	directed	Control(indirect)
ENTREZID	239	ENTREZID	1565	directed	Control(indirect)
ENTREZID	239	ENTREZID	1559	directed	Control(indirect)
ENTREZID	239	ENTREZID	2053	directed	Control(indirect)
ENTREZID	239	ENTREZID	2948	directed	Control(indirect)
ENTREZID	239	ENTREZID	4056	directed	Control(indirect)
ENTREZID	5743	ENTREZID	246	directed	Control(indirect)
ENTREZID	5743	ENTREZID	2879	directed	Control(indirect)
ENTREZID	2879	ENTREZID	240	directed	Control(indirect)
ENTREZID	2879	ENTREZID	4048	directed	Control(indirect)
